model,name,state,transient,info
confirm.stock.sms,Confirm Stock SMS,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
crm.activity.report,CRM Activity Analysis,base,False, CRM Lead Analysis 
crm.iap.lead.helpers,Helper methods for crm_iap_mine modules,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
crm.iap.lead.industry,CRM IAP Lead Industry,base,False, Industry Tags of Acquisition Rules 
crm.iap.lead.mining.request,CRM Lead Mining Request,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
crm.iap.lead.role,People Role,base,False, CRM Reveal People Roles for People 
crm.iap.lead.seniority,People Seniority,base,False, Seniority for People Rules 
crm.lead,Lead/Opportunity,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
crm.lead.lost,Get Lost Reason,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
crm.lead.pls.update,Update the probabilities,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
crm.lead.scoring.frequency,Lead Scoring Frequency,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
crm.lead.scoring.frequency.field,Fields that can be used for predictive lead scoring computation,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
crm.lead2opportunity.partner,Convert Lead to Opportunity (not in mass),base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
crm.lead2opportunity.partner.mass,Convert Lead to Opportunity (in mass),base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
crm.lost.reason,Opp. Lost Reason,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
crm.merge.opportunity,Merge Opportunities,base,True,"
        Merge opportunities together.
        If we're talking about opportunities, it's just because it makes more sense
        to merge opps than leads, because the leads are more ephemeral objects.
        But since opportunities are leads, it's also possible to merge leads
        together (resulting in a new lead), or leads and opps together (resulting
        in a new opp).
    "
crm.quotation.partner,Create new or use existing Customer on new Quotation,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
crm.recurring.plan,CRM Recurring revenue plans,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
crm.stage,CRM Stages,base,False," Model for case stages. This models the main stages of a document
        management flow. Main CRM objects (leads, opportunities, project
        issues, ...) will now use only stages, instead of state and stages.
        Stages are for example used to display the kanban view of records.
    "
crm.tag,CRM Tag,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
crm.team,Sales Team,base,False," A mixin for models that inherits mail.alias. This mixin initializes the
        alias_id column in database, and manages the expected one-to-one
        relation between your model and mail aliases.
    "
crm.team.member,Sales Team Member,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
decimal.precision,Decimal Precision,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
digest.digest,Digest,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
digest.tip,Digest Tips,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
fetchmail.server,Incoming Mail Server,base,False,Incoming POP/IMAP mail server account
fleet.service.type,Fleet Service Type,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
fleet.vehicle,Vehicle,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
fleet.vehicle.assignation.log,Drivers history on a vehicle,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
fleet.vehicle.cost.report,Fleet Analysis Report,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
fleet.vehicle.log.contract,Vehicle Contract,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
fleet.vehicle.log.services,Services for vehicles,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
fleet.vehicle.model,Model of a vehicle,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
fleet.vehicle.model.brand,Brand of the vehicle,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
fleet.vehicle.model.category,Category of the model,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
fleet.vehicle.odometer,Odometer log for a vehicle,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
fleet.vehicle.state,Vehicle Status,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
fleet.vehicle.tag,Vehicle Tag,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
format.address.mixin,Address Format,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
google.gmail.mixin,Google Gmail Mixin,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
hr.contract,Contract,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
hr.contract.history,Contract history,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
hr.contract.type,Contract Type,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
hr.department,Department,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
hr.departure.reason,Departure Reason,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
hr.departure.wizard,Departure Wizard,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
hr.employee,Employee,base,False,"
    NB: Any field only available on the model hr.employee (i.e. not on the
    hr.employee.public model) should have `groups=""hr.group_hr_user""` on its
    definition to avoid being prefetched when the user hasn't access to the
    hr.employee model. Indeed, the prefetch loads the data for all the fields
    that are available according to the group defined on them.
    "
hr.employee.base,Basic Employee,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
hr.employee.category,Employee Category,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
hr.employee.public,Public Employee,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
hr.job,Job Position,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
hr.payroll.structure.type,Salary Structure Type,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
hr.plan,plan,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
hr.plan.activity.type,Plan activity type,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
hr.plan.wizard,Plan Wizard,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
hr.work.location,Work Location,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
iap.account,IAP Account,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
iap.autocomplete.api,IAP Partner Autocomplete API,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
iap.enrich.api,IAP Lead Enrichment API,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
im_livechat.channel,Livechat Channel,base,False," Livechat Channel
        Define a communication channel, which can be accessed with 'script_external' (script tag to put on
        external website), 'script_internal' (code to be integrated with odoo website) or via 'web_page' link.
        It provides rating tools, and access rules for anonymous people.
    "
im_livechat.channel.rule,Livechat Channel Rules,base,False," Channel Rules
        Rules defining access to the channel (countries, and url matching). It also provide the 'auto pop'
        option to open automatically the conversation.
    "
im_livechat.report.channel,Livechat Support Channel Report,base,False, Livechat Support Report on the Channels 
im_livechat.report.operator,Livechat Support Operator Report,base,False, Livechat Support Report on the Operator 
image.mixin,Image Mixin,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
ir.actions.act_url,Action URL,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.actions.act_window,Action Window,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.actions.act_window.view,Action Window View,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.actions.act_window_close,Action Window Close,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.actions.actions,Actions,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.actions.client,Client Action,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.actions.report,Report Action,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.actions.server,Server Action,base,False, Add SMS option in server actions. 
ir.actions.todo,Configuration Wizards,base,False,"
    Configuration Wizards
    "
ir.asset,Asset,base,False,"This model contributes to two things:

        1. It provides a function returning a list of all file paths declared
        in a given list of addons (see _get_addon_paths);

        2. It allows to create 'ir.asset' records to add additional directives
        to certain bundles.
    "
ir.attachment,Attachment,base,False,"Attachments are used to link binary files or url to any openerp document.

    External attachment storage
    ---------------------------

    The computed field ``datas`` is implemented using ``_file_read``,
    ``_file_write`` and ``_file_delete``, which can be overridden to implement
    other storage engines. Such methods should check for other location pseudo
    uri (example: hdfs://hadoopserver).

    The default implementation is the file:dirname location that stores files
    on the local filesystem using name based on their sha1 hash
    "
ir.autovacuum,Automatic Vacuum,base,False, Helper model to the ``@api.autovacuum`` method decorator. 
ir.binary,File streaming helper model for controllers,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
ir.config_parameter,System Parameter,base,False,Per-database storage of configuration key-value pairs.
ir.cron,Scheduled Actions,base,False," Model describing cron jobs (also called actions or tasks).
    "
ir.cron.trigger,Triggered actions,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.default,Default Values,base,False, User-defined default values for fields. 
ir.demo,Demo,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
ir.demo_failure,Demo failure,base,True," Stores modules for which we could not install demo data
    "
ir.demo_failure.wizard,Demo Failure wizard,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
ir.exports,Exports,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.exports.line,Exports Line,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.fields.converter,Fields Converter,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
ir.filters,Filters,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.http,HTTP Routing,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
ir.logging,Logging,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.mail_server,Mail Server,base,False,"Represents an SMTP server, able to send outgoing emails, with SSL and TLS capabilities."
ir.model,Models,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.model.access,Model Access,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.model.constraint,Model Constraint,base,False,"
    This model tracks PostgreSQL foreign keys and constraints used by Odoo
    models.
    "
ir.model.data,Model Data,base,False,"Holds external identifier keys for records in the database.
       This has two main uses:

           * allows easy data integration with third-party systems,
             making import/export/sync of data possible, as records
             can be uniquely identified across multiple systems
           * allows tracking the origin of data installed by Odoo
             modules themselves, thus making it possible to later
             update them seamlessly.
    "
ir.model.fields,Fields,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.model.fields.selection,Fields Selection,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.model.relation,Relation Model,base,False,"
    This model tracks PostgreSQL tables used to implement Odoo many2many
    relations.
    "
ir.module.category,Application,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.module.module,Module,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.module.module.dependency,Module dependency,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.module.module.exclusion,Module exclusion,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.profile,Profiling results,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.property,Company Property,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.qweb,Qweb,base,False," IrQWeb object for rendering editor stuff
    "
ir.qweb.field,Qweb Field,base,False," Used to convert a t-field specification into an output HTML field.

    :meth:`~.to_html` is the entry point of this conversion from QWeb, it:

    * converts the record value to html using :meth:`~.record_to_html`
    * generates the metadata attributes (``data-oe-``) to set on the root
      result node
    * generates the root result node itself through :meth:`~.render_element`
    "
ir.qweb.field.barcode,Qweb Field Barcode,base,False," ``barcode`` widget rendering, inserts a data:uri-using image tag in the
    document. May be overridden by e.g. the website module to generate links
    instead.
    "
ir.qweb.field.contact,Qweb Field Contact,base,False," Used to convert a t-field specification into an output HTML field.

    :meth:`~.to_html` is the entry point of this conversion from QWeb, it:

    * converts the record value to html using :meth:`~.record_to_html`
    * generates the metadata attributes (``data-oe-``) to set on the root
      result node
    * generates the root result node itself through :meth:`~.render_element`
    "
ir.qweb.field.date,Qweb Field Date,base,False," Used to convert a t-field specification into an output HTML field.

    :meth:`~.to_html` is the entry point of this conversion from QWeb, it:

    * converts the record value to html using :meth:`~.record_to_html`
    * generates the metadata attributes (``data-oe-``) to set on the root
      result node
    * generates the root result node itself through :meth:`~.render_element`
    "
ir.qweb.field.datetime,Qweb Field Datetime,base,False," Used to convert a t-field specification into an output HTML field.

    :meth:`~.to_html` is the entry point of this conversion from QWeb, it:

    * converts the record value to html using :meth:`~.record_to_html`
    * generates the metadata attributes (``data-oe-``) to set on the root
      result node
    * generates the root result node itself through :meth:`~.render_element`
    "
ir.qweb.field.duration,Qweb Field Duration,base,False," ``duration`` converter, to display integral or fractional values as
    human-readable time spans (e.g. 1.5 as ""1 hour 30 minutes"").

    Can be used on any numerical field.

    Has an option ``unit`` which can be one of ``second``, ``minute``,
    ``hour``, ``day``, ``week`` or ``year``, used to interpret the numerical
    field value before converting it. By default use ``second``.

    Has an option ``round``. By default use ``second``.

    Has an option ``digital`` to display 01:00 instead of 1 hour

    Sub-second values will be ignored.
    "
ir.qweb.field.float,Qweb Field Float,base,False," Used to convert a t-field specification into an output HTML field.

    :meth:`~.to_html` is the entry point of this conversion from QWeb, it:

    * converts the record value to html using :meth:`~.record_to_html`
    * generates the metadata attributes (``data-oe-``) to set on the root
      result node
    * generates the root result node itself through :meth:`~.render_element`
    "
ir.qweb.field.float_time,Qweb Field Float Time,base,False," ``float_time`` converter, to display integral or fractional values as
    human-readable time spans (e.g. 1.5 as ""01:30"").

    Can be used on any numerical field.
    "
ir.qweb.field.html,Qweb Field HTML,base,False," Used to convert a t-field specification into an output HTML field.

    :meth:`~.to_html` is the entry point of this conversion from QWeb, it:

    * converts the record value to html using :meth:`~.record_to_html`
    * generates the metadata attributes (``data-oe-``) to set on the root
      result node
    * generates the root result node itself through :meth:`~.render_element`
    "
ir.qweb.field.image,Qweb Field Image,base,False,"
    Widget options:

    ``class``
        set as attribute on the generated <img> tag
    "
ir.qweb.field.image_url,Qweb Field Image,base,False," ``image_url`` widget rendering, inserts an image tag in the
    document.
    "
ir.qweb.field.integer,Qweb Field Integer,base,False," Used to convert a t-field specification into an output HTML field.

    :meth:`~.to_html` is the entry point of this conversion from QWeb, it:

    * converts the record value to html using :meth:`~.record_to_html`
    * generates the metadata attributes (``data-oe-``) to set on the root
      result node
    * generates the root result node itself through :meth:`~.render_element`
    "
ir.qweb.field.many2many,Qweb field many2many,base,False," Used to convert a t-field specification into an output HTML field.

    :meth:`~.to_html` is the entry point of this conversion from QWeb, it:

    * converts the record value to html using :meth:`~.record_to_html`
    * generates the metadata attributes (``data-oe-``) to set on the root
      result node
    * generates the root result node itself through :meth:`~.render_element`
    "
ir.qweb.field.many2one,Qweb Field Many to One,base,False," Used to convert a t-field specification into an output HTML field.

    :meth:`~.to_html` is the entry point of this conversion from QWeb, it:

    * converts the record value to html using :meth:`~.record_to_html`
    * generates the metadata attributes (``data-oe-``) to set on the root
      result node
    * generates the root result node itself through :meth:`~.render_element`
    "
ir.qweb.field.monetary,Qweb Field Monetary,base,False," ``monetary`` converter, has a mandatory option
    ``display_currency`` only if field is not of type Monetary.
    Otherwise, if we are in presence of a monetary field, the field definition must
    have a currency_field attribute set.

    The currency is used for formatting *and rounding* of the float value. It
    is assumed that the linked res_currency has a non-empty rounding value and
    res.currency's ``round`` method is used to perform rounding.

    .. note:: the monetary converter internally adds the qweb context to its
              options mapping, so that the context is available to callees.
              It's set under the ``_values`` key.
    "
ir.qweb.field.qweb,Qweb Field qweb,base,False," Used to convert a t-field specification into an output HTML field.

    :meth:`~.to_html` is the entry point of this conversion from QWeb, it:

    * converts the record value to html using :meth:`~.record_to_html`
    * generates the metadata attributes (``data-oe-``) to set on the root
      result node
    * generates the root result node itself through :meth:`~.render_element`
    "
ir.qweb.field.relative,Qweb Field Relative,base,False," Used to convert a t-field specification into an output HTML field.

    :meth:`~.to_html` is the entry point of this conversion from QWeb, it:

    * converts the record value to html using :meth:`~.record_to_html`
    * generates the metadata attributes (``data-oe-``) to set on the root
      result node
    * generates the root result node itself through :meth:`~.render_element`
    "
ir.qweb.field.selection,Qweb Field Selection,base,False," Used to convert a t-field specification into an output HTML field.

    :meth:`~.to_html` is the entry point of this conversion from QWeb, it:

    * converts the record value to html using :meth:`~.record_to_html`
    * generates the metadata attributes (``data-oe-``) to set on the root
      result node
    * generates the root result node itself through :meth:`~.render_element`
    "
ir.qweb.field.text,Qweb Field Text,base,False," Used to convert a t-field specification into an output HTML field.

    :meth:`~.to_html` is the entry point of this conversion from QWeb, it:

    * converts the record value to html using :meth:`~.record_to_html`
    * generates the metadata attributes (``data-oe-``) to set on the root
      result node
    * generates the root result node itself through :meth:`~.render_element`
    "
ir.qweb.field.time,QWeb Field Time,base,False," ``time`` converter, to display integer or fractional value as
    human-readable time (e.g. 1.5 as ""1:30 AM""). The unit of this value
    is in hours.

    Can be used on any numerical field between: 0 <= value < 24
    "
ir.rule,Record Rule,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.sequence,Sequence,base,False," Sequence model.

    The sequence model allows to define and use so-called sequence objects.
    Such objects are used to generate unique identifiers in a transaction-safe
    way.

    "
ir.sequence.date_range,Sequence Date Range,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.server.object.lines,Server Action value mapping,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.ui.menu,Menu,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.ui.view,View,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.ui.view.custom,Custom View,base,False," Main super-class for regular database-persisted Odoo models.

    Odoo models are created by inheriting from this class::

        class user(Model):
            ...

    The system will later instantiate the class once per database (on
    which the class' module is installed).
    "
ir.websocket,websocket message handling,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
kpi.provider,KPI Provider,base,False,"
    Updates the base class to support setting xids directly in create by
    providing an ""id"" key (otherwise stripped by create) during an import
    (which should strip 'id' from the input data anyway)
    "
lot.label.layout,Choose the sheet layout to print lot labels,base,True," Model super-class for transient records, meant to be temporarily
    persistent, and regularly vacuum-cleaned.

    A TransientModel has a simplified access rights management, all users can
    create new records, and may only access the records they created. The
    superuser has unrestricted access to all TransientModel records.
    "
mail.activity,Activity,base,False," An actual activity to perform. Activities are linked to
    documents using res_id and res_model_id fields. Activities have a deadline
    that can be used in kanban view to display a status. Once done activities
    are unlinked and a message is posted. This message has a new activity_type_id
    field that indicates the activity linked to the message. "
